latitude,longitude,name,elevation
-14.377631,-42.230934,Morro do Cabeludo ou Tapera,835.0
-13.613037,-41.808983,Morro,905.0
-14.181668,-41.723793,Serra das Éguas,1100.0
-13.526933,-41.968132,Pico das Almas,1980.0
-13.694274,-41.970608,Morro da Melância,1179.0
-13.931392,-41.58427,Morro do Alegre,1126.0
-13.740379,-41.68373,Serra da Tabatinga,1266.0
-13.548113,-41.907433,Serra,1723.0
-14.2431135,-42.036537,Morro do Soca Pau,824.0
-14.263817,-42.186516,Morro Largo da Anta,910.0
-13.639061,-41.79106,Serra do Rio de Contas,1214.0
-13.523213,-41.693443,Serra do Esquisito,1075.0
-13.533967,-41.68978,Serra da Bananeira,1095.0
-13.624777,-41.643208,Serra do Caldeirão,989.0
-13.624991,-41.65708,Serra do Pilão,926.0
-13.584119,-41.678986,Morro da Bucandia,752.0
-13.600233,-41.67238,Morro do Largo,798.0
-13.55507,-41.888687,Serra,1621.0
-13.579462,-41.849823,Pico da Bicuda,1422.0
-13.608936,-41.70601,Morro de Godó,652.0
-13.579297,-41.74596,Morro do Carvão,837.0
-13.722986,-41.622784,Serra Pedra Branca,996.0
-13.840722,-41.554462,Serra do Boqueirão,698.0
-13.697227,-41.562477,Serra do Manoel Paulo,810.0
-13.662851,-41.69455,Serra do Sumidouro,1160.0
-13.775728,-41.83067,Morro da Barriguda,630.0
-13.952287,-41.942966,Morro da Corisco,805.0
-13.736901,-41.93503,Morro da Horta,695.0
-13.938152,-41.898224,Morro do Cruzeiro,645.0
-13.816125,-41.774776,Morro do Engenho,565.0
-13.938887,-41.738083,Morro do Saquinho,622.0
-13.562454,-41.972446,Serra Malhada da Areia,1584.0
-13.789505,-41.987785,Morro Canela da Ema,796.0
-13.810176,-41.966347,Morro do Campanha,875.0
-14.188798,-42.125923,Morro Larga d'Anta III,818.0
-14.299658,-42.141,Morro Santa Clara,909.0
-13.804658,-42.304188,Morro da Mangabeira,1010.0
-13.819786,-42.33646,Morro Quebradinha,1055.0
-13.867122,-42.174927,Morro da Serra,985.0
-13.634893,-41.79989,Tombador,1390.0
-13.626669,-42.12929,Morro do Chapéu,925.0
-14.374741,-42.461052,Morro do Olho d'água,1041.0
-14.082198,-41.954556,Serra da Boa Vista,600.0
-14.143234,-41.907608,Morro do Jardim,1024.0
-14.126504,-41.94606,Morro do Casado,948.0
-14.133641,-42.02869,Morro Largo d'Anta,606.0
-14.18214,-42.073837,Morro da Pedreira,841.0
-14.277692,-42.059998,Morro do Morcego,827.0
-14.205315,-42.152912,Morro da Pinga,784.0
-14.290606,-42.14542,Morro do Angola,885.0
-14.026392,-41.62235,Morro da Grota,776.0
-14.06103,-41.663162,Morro do Mandacaru,654.0
-14.217463,-41.57905,Serra da Franga,788.0
-14.13487,-41.599174,Morro do Lajedão,610.0
-14.141403,-41.57304,Serra do Paracatu,818.0
-14.456423,-41.592407,Morro do Mirante,816.0
-13.878079,-41.77633,Serra Alegre,744.0
-13.519132,-42.2693,Morro do Burro,935.0
-14.053995,-41.606514,Morro do Bracinho,500.0
-14.184179,-42.208702,Morro Lagoa de Baixo,730.0
-14.1838875,-42.21737,Morro do Pacotão,672.0
-14.168471,-42.209946,Morro da Bocaina,625.0
-13.982796,-41.632175,Morro do Elói,766.0
-13.565777,-41.87188,Serra,1526.0
-13.830454,-41.780106,Morro,644.0
-13.825683,-41.77697,Morro do Engenho,657.0
-13.81789,-41.76706,Morro,527.0
-13.582379,-41.890034,Morro,907.0
-13.574652,-41.91781,Morro,1011.0
-13.655495,-41.99347,Morro,1053.0
-13.629409,-41.995197,Serra do Brejo,1366.0
-13.597689,-41.82212,Morro,1033.0
-13.59723,-41.805553,Serra,1174.0
-13.660312,-42.13553,Morro do Junco,762.0
-13.54887,-41.988544,Serra,1341.0
