latitude,longitude,name,elevation
-38.05589,142.8118,Mount Shadwell,292.0
-38.244385,143.15761,Mount Leura,313.0
-37.56528,142.94528,Bald Hill,340.0
-38.08155,143.4087,Bald Hill,146.0
-38.47269,143.08524,Dykes Hill,121.0
-38.26597,143.02039,Ewen Hill,271.0
-37.637665,143.35144,Monmot Hill,408.0
-37.5876,143.44885,Mount Emu,514.0
-37.86247,142.97722,Mount Fyans,275.0
-37.78475,142.98886,Mount Hamilton,290.0
-37.85796,143.47887,Mount Kinross,279.0
-38.07942,143.11136,Mount Koang,262.0
-38.0835,143.14287,Mount Kurtweeton,272.0
-38.12744,143.06683,Mount Meningoort,192.0
-38.15339,143.2441,Mount Myrtoon,165.0
-38.31392,143.28766,Mount Porndon,289.0
-37.82571,143.19414,Mount Vite Vite,287.0
-38.30569,142.73975,Mount Warrnambool,216.0
-37.54978,143.08447,Mount Weejort,371.0
-37.7431,143.35776,Mount Widderin,361.0
-37.62453,143.39276,Nanimia Hill,443.0
-37.62434,143.12392,Ritchie Hill,270.0
-38.23119,143.21661,Mount Wiridgil,235.0
-37.97975,142.7937,Mondilibi (Flat Top) Hill,203.0
-38.309025,142.68407,Tank Hill,132.0
-37.560543,142.74847,Bald Hill,300.0
-37.738235,142.51436,Scrubby Hill,331.0
