latitude,longitude,name,elevation
36.5406,-86.67249,Bradley Hill,241.0
36.511433,-86.63388,Cedarcroft Hill,259.0
36.526154,-86.637215,Cherry Mount Hill,227.0
36.56199,-86.69138,Covington Hill,224.0
36.537544,-86.708885,Empson Hill,224.0
36.5106,-86.98639,Frazier Hill,198.0
36.533653,-86.650276,Jones Hill,243.0
36.53199,-86.68694,Payne Hill,239.0
37.279488,-86.987495,Airdrie Hill,165.0
37.23588,-86.70832,Allens Hill,189.0
37.335327,-86.549706,Bald Point,220.0
37.078934,-87.32667,Ball Knob,213.0
37.45005,-86.8261,Barnes Hill,182.0
37.485878,-87.20917,Bates Knob,166.0
37.101154,-86.629715,Big Clifty,245.0
37.492268,-87.22111,Boehler Knob,154.0
36.998653,-86.523605,Briggs Hill,238.0
37.188656,-87.12694,Buck Knob,202.0
37.336437,-86.5947,Buffalo Hill,192.0
36.82004,-86.80888,Buzzard Knob,256.0
37.422268,-87.08305,Cave Hill,166.0
37.140045,-86.6186,Flippo Hill,169.0
37.082268,-86.6611,Hanging Rock,219.0
37.25588,-87.34917,Harps Hill,163.0
37.38866,-86.74138,Hickory Knob,191.0
37.33699,-86.81916,High View Hill,168.0
37.10282,-86.96777,Huckleberry Knob,179.0
37.028378,-86.93666,Iron Mountain,215.0
37.31588,-86.82666,Keel Hill,175.0
36.85393,-87.261116,Keeling Hill,246.0
37.155045,-86.60221,Little Barn Knob,206.0
36.811707,-86.905556,Luckett Knob,250.0
37.305603,-86.75582,Millers Rock,130.0
37.25643,-87.40361,Moss Hill,183.0
37.33616,-86.81082,Negro Hill,139.0
37.322548,-86.53943,Netters Point,205.0
37.04254,-86.7011,Peach Orchard Knob,247.0
36.822266,-86.67472,Pilot Knob,282.0
37.29171,-86.91083,Pilot Knob,188.0
36.921154,-87.28611,Pilot Rock,293.0
36.9231,-87.34251,Pine Knob,262.0
37.479496,-86.51248,Pine Knob,234.0
37.002544,-87.249725,Poe Hill,212.0
37.0731,-86.72166,Ragland Hill,233.0
36.82115,-86.82,Rainbow Rock Knob,242.0
37.404495,-86.64887,Rattlesnake Knob,232.0
37.015877,-86.98028,Red Hill,201.0
37.12532,-87.39306,Red Hill,149.0
37.128933,-87.38472,Rich Hill,150.0
37.086155,-86.57805,Sallys Rock,132.0
37.298378,-86.857216,Seminary Hill,174.0
37.0156,-86.89361,Simmons Knob,210.0
37.098377,-86.536934,Snowbirds Point,176.0
36.840874,-86.860275,Sugarloaf Knob,232.0
37.021988,-86.88222,Tan Knob,214.0
37.315044,-86.84833,Taylor Hill,173.0
37.332546,-86.78138,Tilford Knob,184.0
37.11699,-87.13027,Tooley Hill,215.0
37.45005,-86.72415,Tunnel Hill,211.0
37.183098,-87.29889,Turkey Hill,150.0
37.463383,-86.6836,Wildcat Knob,183.0
37.11449,-86.66749,Zion Hill,198.0
