latitude,longitude,name,elevation
36.730835,27.581667,Kocadağ,1011.0
36.79353,27.796236,Emecik Dağı,729.0
36.602337,27.83313,Βίγλα,617.0
36.91843,28.489346,Ardıç Tepe,759.0
36.9446,28.475637,Muslu Dağı,850.0
36.85923,28.337177,Kırzeytin Dağı,693.0
36.905315,28.369917,Balan Dağı,803.0
36.8103,28.381355,Dağardı Tepesi,595.0
36.680172,28.13626,Karapinar Tepe,630.0
36.652435,28.125956,Göktepe,600.0
36.60631,28.09367,Karayüksek Dağ,520.0
36.889496,28.32679,Balan Dağı,992.0
36.934216,28.230677,Gökkaya Tepesi,373.0
36.888947,28.24264,Kara Dağ,557.0
36.82977,28.103727,Honozbaşı Tepesi,428.0
36.71354,27.636917,Kara Dağ,712.0
36.77449,27.879835,Yağlıdağar Dağı,496.0
37.47174,27.774109,Beşparmak Dağları,1124.0
37.27076,27.838486,Boz Dağ,776.0
37.479504,27.765106,Çatal Tepe,1249.0
37.37602,27.572363,İlbir Dağı,1077.0
37.01508,27.529785,Koca Dağı,474.0
37.064022,27.713749,Bulgar Dağı,608.0
37.048443,27.642921,Gavur Dağı,585.0
37.067142,27.774435,Kabalak Dağları,645.0
37.041256,27.60335,Kuşça Dağı,522.0
36.992573,27.55382,Yalı Dağı,308.0
37.298805,27.756493,Küçük Sungurtepe,558.0
36.52638,27.857054,Πάνο Βάρδια,122.0
36.67068,28.122904,Heybecik Tepesi,548.0
36.7065,28.191912,Güvenç Dağı,722.0
37.4862,27.557713,Sıraçamlar Tepesi,255.0
37.487705,27.608156,Yeldeğirmeni Tepesi,852.0
37.478165,27.594936,Ayıboğazı Tepesi,581.0
37.481422,27.591873,Kocaasar Tepesi,723.0
37.48303,27.59447,Tuztaşları Tepesi,686.0
37.474186,27.609566,Asarcan Tepesi,671.0
37.490993,27.647524,Arlıkaya Tepesi,575.0
37.450726,27.543411,Tepecik,62.0
37.462852,27.551888,Hızır Tepesi,101.0
37.477356,27.548632,Oyuk Tepesi,247.0
37.478737,27.551844,Taşuçan Tepesi,249.0
37.483334,27.55392,Çamlık Tepesi,235.0
37.477566,27.614426,Karaboğazlık Tepesi,813.0
37.479626,27.619156,Hoca Tepesi,713.0
36.775227,27.96014,Kovalıca Tepesi,504.0
36.771687,27.960161,Kovanlık Tepesi,513.0
36.756275,28.216625,Palamut Tepesi,780.0
36.690395,28.126331,395,395.0
36.847244,28.194715,Akçaalan Tepe,180.0
36.841747,28.19774,Karataş Tepe,225.0
36.842915,28.237396,Arapsivri Tepe,191.0
36.84623,28.242117,Çavdarboynu Tepe,108.0
36.844666,28.226624,Soğukbelen Tepe,321.0
36.82813,28.222889,Köle Dağı,340.0
37.473778,28.00104,Gökbel Dağı,1422.0
37.23583,28.04823,Bencikdağı,1389.0
37.364803,28.13105,Erentepe,710.0
36.828857,28.226,340,340.0
37.16454,28.035543,Kavakdağı,1360.0
37.33153,27.938993,Aksivri,1360.0
